x1,x2,y
15.0,15.0,416.0
-16.0,6.0,239.0
-13.0,19.0,368.0
12.0,-4.0,223.0
15.0,-7.0,200.0
7.0,4.0,281.0
4.0,2.0,252.0
0.0,-5.0,183.0
13.0,22.0,473.0
20.0,-17.0,119.0
1.0,-9.0,140.0
-12.0,-0.0,188.0
7.0,-10.0,146.0
-7.0,4.0,245.0
-2.0,6.0,275.0
-4.0,2.0,231.0
3.0,-13.0,109.0
15.0,1.0,282.0
-12.0,-5.0,142.0
-11.0,11.0,303.0
4.0,7.0,303.0
9.0,6.0,312.0
-2.0,12.0,334.0
3.0,1.0,241.0
10.0,2.0,275.0
7.0,-6.0,185.0
5.0,-8.0,168.0
-7.0,9.0,287.0
-1.0,-7.0,155.0
-10.0,19.0,377.0
8.0,8.0,324.0
9.0,19.0,432.0
12.0,12.0,379.0
-15.0,23.0,402.0
-2.0,9.0,313.0
1.0,7.0,300.0
18.0,-4.0,238.0
13.0,3.0,293.0
-7.0,9.0,289.0
19.0,-12.0,170.0
-17.0,-8.0,97.0
-11.0,4.0,232.0
17.0,-1.0,269.0
9.0,-12.0,140.0
7.0,-26.0,0.0
3.0,9.0,324.0
-7.0,-1.0,197.0
3.0,12.0,350.0
8.0,-12.0,133.0
22.0,10.0,386.0
19.0,15.0,425.0
-2.0,10.0,313.0
18.0,0.0,279.0
-15.0,-10.0,85.0
9.0,24.0,483.0
2.0,-3.0,197.0
-12.0,11.0,300.0
-14.0,-4.0,152.0
-3.0,-4.0,180.0
4.0,18.0,407.0
-5.0,-13.0,86.0
-9.0,3.0,231.0
-8.0,-7.0,130.0
-15.0,5.0,226.0
-22.0,-6.0,99.0
10.0,-13.0,132.0
-7.0,-4.0,164.0
5.0,-16.0,83.0
-4.0,-6.0,154.0
4.0,-0.0,236.0
-7.0,-8.0,129.0
8.0,-3.0,224.0
-14.0,-10.0,84.0
4.0,-9.0,151.0
15.0,19.0,454.0
-4.0,-7.0,151.0
4.0,1.0,250.0
4.0,-1.0,228.0
-2.0,-16.0,65.0
8.0,-13.0,128.0
19.0,-9.0,199.0
-20.0,-9.0,83.0
-11.0,4.0,230.0
0.0,-7.0,162.0
6.0,2.0,261.0
1.0,9.0,320.0
1.0,8.0,303.0
1.0,-11.0,121.0
-4.0,-11.0,103.0
-4.0,-5.0,164.0
19.0,-5.0,234.0
3.0,4.0,278.0
-2.0,5.0,271.0
-2.0,15.0,364.0
1.0,-3.0,198.0
-6.0,-9.0,125.0
4.0,-15.0,95.0
-2.0,0.0,225.0
11.0,-11.0,154.0
11.0,-9.0,171.0
