x1,x2,y
-8.0,2.0,0
-9.0,-1.0,0
-10.0,-3.0,0
17.0,-11.0,1
20.0,18.0,1
39.0,26.0,1
-11.0,-4.0,0
-11.0,-26.0,0
-15.0,11.0,1
-3.0,6.0,1
-13.0,-13.0,0
34.0,-18.0,1
-13.0,13.0,0
-7.0,-11.0,0
-11.0,7.0,0
2.0,-5.0,1
-25.0,-5.0,0
-11.0,14.0,0
-12.0,20.0,0
-13.0,-2.0,0
-5.0,11.0,1
9.0,-13.0,1
20.0,-4.0,1
22.0,20.0,1
5.0,4.0,1
-28.0,-3.0,0
3.0,11.0,1
3.0,-3.0,1
-12.0,4.0,0
-1.0,-9.0,1
12.0,16.0,1
-7.0,-6.0,0
13.0,-10.0,1
-32.0,-13.0,0
8.0,-7.0,1
10.0,-8.0,0
-4.0,-12.0,0
24.0,-1.0,1
7.0,4.0,1
5.0,-0.0,1
-15.0,5.0,0
17.0,-17.0,1
-10.0,-14.0,0
-3.0,0.0,1
-19.0,-36.0,0
-1.0,13.0,1
13.0,-25.0,1
-4.0,-3.0,0
-0.0,21.0,1
-22.0,-16.0,0
-9.0,9.0,0
-2.0,5.0,1
9.0,-2.0,1
-11.0,4.0,0
-10.0,12.0,0
-8.0,7.0,0
-12.0,7.0,0
12.0,-10.0,1
-9.0,18.0,0
6.0,-12.0,0
2.0,-1.0,1
-2.0,-24.0,0
-6.0,-12.0,0
10.0,20.0,1
10.0,-16.0,1
-9.0,18.0,0
-13.0,-0.0,0
3.0,-1.0,1
-9.0,4.0,0
-12.0,5.0,1
-12.0,-3.0,0
12.0,-8.0,1
23.0,15.0,1
-6.0,-9.0,0
18.0,19.0,1
-8.0,19.0,0
-1.0,7.0,1
17.0,-9.0,1
-6.0,14.0,0
-7.0,-8.0,1
9.0,24.0,1
-11.0,13.0,0
7.0,6.0,1
-11.0,9.0,0
-15.0,-8.0,0
9.0,-4.0,1
19.0,-22.0,1
-10.0,18.0,0
-1.0,-4.0,1
5.0,-20.0,1
-14.0,-11.0,0
2.0,-5.0,1
14.0,-2.0,1
-14.0,-4.0,0
19.0,-2.0,1
-10.0,4.0,0
-9.0,-9.0,0
25.0,4.0,1
-5.0,-37.0,0
-21.0,4.0,0
