วันเดือนปี,ล่าสุด,ราคาเปิด,สูงสุด,ต่ำสุด,ปริมาณ,% เปลี่ยน
"Aug 16, 2011",748.83,759.69,759.93,748.83,887.21K,-1.02%
"Aug 17, 2011",760.83,755.34,762.55,754.04,1.06M,1.60%
"Aug 18, 2011",758.83,765.44,768.51,757.87,1.09M,-0.26%
"Aug 19, 2011",742.86,746.31,751.14,740.64,1.22M,-2.10%
"Aug 22, 2011",741.98,742.08,742.53,729.07,921.54K,-0.12%
"Aug 23, 2011",733.83,741.96,742.98,732.56,1.07M,-1.10%
"Aug 24, 2011",725.7,731.89,736.78,720.78,1.29M,-1.11%
"Aug 25, 2011",711.48,733.97,734.06,711.48,1.15M,-1.96%
"Aug 26, 2011",721.84,704.12,722.01,702.83,1.11M,1.46%
"Aug 29, 2011",736.47,726.28,738.16,721.45,927.11K,2.03%
"Aug 30, 2011",727.78,744.33,746.58,727.78,1.25M,-1.18%
"Aug 31, 2011",747.07,735.98,747.5,735.29,881.76K,2.65%
"Sep 01, 2011",746.25,756.52,756.52,745.39,909.82K,-0.11%
"Sep 02, 2011",742.3,749.08,749.73,737.29,534.11K,-0.53%
"Sep 05, 2011",729.69,734.79,737.87,727.44,540.74K,-1.70%
"Sep 06, 2011",734.49,724.53,734.49,722.61,836.64K,0.66%
"Sep 07, 2011",744.18,736.88,744.25,735.6,915.18K,1.32%
"Sep 08, 2011",747.06,740.7,747.06,738.38,844.77K,0.39%
"Sep 09, 2011",739.73,747.53,748.28,738.83,1.09M,-0.98%
"Sep 12, 2011",723.3,728.89,730.86,720.25,925.92K,-2.22%
"Sep 13, 2011",716.87,726.64,728.53,713.7,685.74K,-0.89%
"Sep 14, 2011",711.34,720.18,720.69,701.79,845.61K,-0.77%
"Sep 15, 2011",721.34,714.74,721.62,708.28,1.19M,1.41%
"Sep 16, 2011",718.64,726.7,728.32,716.88,663.14K,-0.37%
"Sep 19, 2011",706.87,712.53,714.67,706.87,621.48K,-1.64%
"Sep 20, 2011",714.7,706.12,714.7,700.93,643.67K,1.11%
"Sep 21, 2011",717.08,711.76,718.85,710.24,650.54K,0.33%
"Sep 22, 2011",689.1,705.21,705.38,689.1,1.25M,-3.90%
"Sep 23, 2011",667.02,676.68,677.68,654.93,1.69M,-3.20%
"Sep 26, 2011",629.14,659.54,659.54,602.32,1.94M,-5.68%
"Sep 27, 2011",662.51,647.48,662.51,631.34,1.43M,5.30%
"Sep 28, 2011",649.6,656.01,664.13,648.85,1.10M,-1.95%
"Sep 29, 2011",644.66,639.56,654.71,638.87,851.31K,-0.76%
"Sep 30, 2011",636.3,647.5,650.26,635.48,789.42K,-1.30%
"Oct 03, 2011",601.9,610.7,612.11,599.1,1.03M,-5.41%
"Oct 04, 2011",592.57,604.93,609.72,583.83,1.45M,-1.55%
"Oct 05, 2011",598.86,598.35,607.32,593.78,927.96K,1.06%
"Oct 06, 2011",639.21,618.93,639.57,615.7,1.44M,6.74%
"Oct 07, 2011",636.07,654.56,655.84,636.07,1.24M,-0.49%
"Oct 10, 2011",647.8,630.23,647.8,626.15,788.61K,1.84%
"Oct 11, 2011",665.75,659.32,670.43,659.03,1.46M,2.77%
"Oct 12, 2011",671.49,664.92,674.13,658.43,1.32M,0.86%
"Oct 13, 2011",658.17,675.79,676.61,658.17,1.37M,-1.98%
"Oct 14, 2011",673.43,657.25,673.43,655.33,708.12K,2.32%
"Oct 17, 2011",686.26,679.44,687.01,677.09,867.02K,1.91%
"Oct 18, 2011",672.47,670.12,672.47,660.51,685.13K,-2.01%
"Oct 19, 2011",661.11,677.43,677.57,657.47,726.87K,-1.69%
"Oct 20, 2011",638.53,651.01,651.01,633.87,970.20K,-3.42%
"Oct 21, 2011",644.8,637.96,649.69,636.18,534.10K,0.98%
"Oct 25, 2011",667.75,655.38,669.09,651.9,808.49K,3.56%
"Oct 26, 2011",664.93,663.17,670.8,657.65,565.13K,-0.42%
"Oct 27, 2011",681.44,674.29,684.18,674.13,1.16M,2.48%
"Oct 28, 2011",691.99,689.81,702.08,689.81,1.28M,1.55%
"Oct 31, 2011",691.97,694.44,698.67,688.56,606.10K,0.00%
"Nov 01, 2011",676.74,688.71,694.38,675.34,770.80K,-2.20%
"Nov 02, 2011",683.61,672.29,686.51,670.11,791.29K,1.02%
"Nov 03, 2011",676.69,672.34,676.69,666.79,579.90K,-1.01%
"Nov 04, 2011",675.61,684.46,686.04,675.61,556.49K,-0.16%
"Nov 07, 2011",673.68,679.72,681.96,672.36,416.72K,-0.29%
"Nov 08, 2011",695.76,679.13,695.76,676.72,648.85K,3.28%
"Nov 09, 2011",682.23,692.88,696.28,682.23,936.68K,-1.94%
"Nov 10, 2011",682.03,669.41,682.03,669.41,640.32K,-0.03%
"Nov 11, 2011",683.01,682.36,685.44,677.92,453.86K,0.14%
"Nov 14, 2011",693.3,692.92,699.67,692.12,975.23K,1.51%
"Nov 15, 2011",693.03,695.62,700.82,691.47,774.72K,-0.04%
"Nov 16, 2011",700.81,691.49,700.81,690.08,1.09M,1.12%
"Nov 17, 2011",697.03,698.02,701.77,696.18,1.03M,-0.54%
"Nov 18, 2011",688.8,692.18,693.92,688.12,729.61K,-1.18%
"Nov 21, 2011",674.87,683.15,688.26,674.87,847.46K,-2.02%
"Nov 22, 2011",684.07,678.87,685.89,674.99,530.91K,1.36%
"Nov 23, 2011",683.31,680.46,684.33,678.8,990.17K,-0.11%
"Nov 24, 2011",686.66,685.05,687.81,682.08,511.45K,0.49%
"Nov 25, 2011",675.6,683.52,684.38,674.96,442.81K,-1.61%
"Nov 28, 2011",689.41,681.85,689.54,681.85,529.71K,2.04%
"Nov 29, 2011",691.79,688.99,697.15,686.72,684.13K,0.35%
"Nov 30, 2011",697.33,694.61,699.21,692.1,928.87K,0.80%
"Dec 01, 2011",716.02,717.49,720.74,713.01,1.77M,2.68%
"Dec 02, 2011",724.23,717.89,724.39,713.49,1.38M,1.15%
"Dec 06, 2011",724.5,727.66,729,719.64,1.35M,0.04%
"Dec 07, 2011",736.72,729.95,736.72,727.66,1.89M,1.69%
"Dec 08, 2011",733.72,732.27,740.37,730.57,1.66M,-0.41%
"Dec 09, 2011",725.92,726.71,727.9,722.28,1.28M,-1.06%
"Dec 13, 2011",723.36,724.58,728.03,719.85,1.38M,-0.35%
"Dec 14, 2011",718.21,726,728.49,718.21,1.27M,-0.71%
"Dec 15, 2011",719.06,709.16,719.06,705.4,1.62M,0.12%
"Dec 16, 2011",726.49,720.49,728.73,719.98,1.18M,1.03%
"Dec 19, 2011",725.54,724.23,730.56,722.2,812.78K,-0.13%
"Dec 20, 2011",725.26,727.96,731.46,725.26,1.25M,-0.04%
"Dec 21, 2011",734.22,735.19,738.41,733.96,910.48K,1.24%
"Dec 22, 2011",732.73,734.31,736.71,728.5,1.17M,-0.20%
"Dec 23, 2011",727.97,734.65,735.2,727.97,1.13M,-0.65%
"Dec 26, 2011",724.57,730.72,731.71,723.6,586.86K,-0.47%
"Dec 27, 2011",721.9,725.34,725.6,718.12,415.73K,-0.37%
"Dec 28, 2011",721.87,720.7,722.23,717.5,410.50K,0.00%
"Dec 29, 2011",717.28,714.49,723.66,714.38,531.37K,-0.64%
"Dec 30, 2011",718.4,719.6,720.04,715.76,646.68K,0.16%
"Jan 04, 2012",726.99,727.22,731.54,725.16,684.66K,1.20%
"Jan 05, 2012",727.12,726.45,730.39,723.5,827.35K,0.02%
"Jan 06, 2012",725.69,725,728.96,723.79,798.07K,-0.20%
"Jan 09, 2012",732.21,723.76,732.21,723.13,718.55K,0.90%
"Jan 10, 2012",738.13,734.53,740.07,733.9,882.74K,0.81%
"Jan 11, 2012",736.14,737.61,742.21,735.56,704.69K,-0.27%
"Jan 12, 2012",735.88,737.54,739.45,734.33,610.05K,-0.04%
"Jan 13, 2012",730.4,735.45,736.95,727.55,743.62K,-0.74%
"Jan 16, 2012",724.43,725.57,726.47,722.68,519.17K,-0.82%
"Jan 17, 2012",740.03,729.48,740.03,728.3,680.14K,2.15%
"Jan 18, 2012",735.37,739.61,741.74,735.29,910.77K,-0.63%
"Jan 19, 2012",740.6,740.5,742.82,736.36,712.54K,0.71%
"Jan 20, 2012",739.56,742.19,743.13,737.58,648.33K,-0.14%
"Jan 23, 2012",741.67,739.92,744.98,739.21,382.16K,0.29%
"Jan 24, 2012",742.95,744.26,748.81,742.95,769.60K,0.17%
"Jan 25, 2012",736.69,745.71,746.25,735.99,514.00K,-0.84%
"Jan 26, 2012",745.81,740.54,746.52,740.1,549.61K,1.24%
"Jan 27, 2012",752.18,748.94,753.48,746.86,833.57K,0.85%
"Jan 30, 2012",750.95,751.83,755.36,749.14,1.26M,-0.16%
"Jan 31, 2012",757.45,755,757.45,749.26,822.47K,0.87%
"Feb 01, 2012",759.16,756.55,760.08,753.02,1.79M,0.23%
"Feb 02, 2012",763.4,763.43,769.03,762.25,1.21M,0.56%
"Feb 03, 2012",768.96,765.41,769.42,761.94,1.07M,0.73%
"Feb 06, 2012",765.82,774.3,775.68,765.82,935.42K,-0.41%
"Feb 07, 2012",770.95,767.68,772.13,764.11,982.84K,0.67%
"Feb 08, 2012",783.39,776.32,787.15,776.21,1.40M,1.61%
"Feb 09, 2012",784.72,784.24,787.65,779.31,1.26M,0.17%
"Feb 10, 2012",781.21,783.17,787.1,779.57,815.65K,-0.45%
"Feb 13, 2012",784.08,782.79,786.57,781.09,762.89K,0.37%
"Feb 14, 2012",776.12,781.86,787.35,773.24,1.24M,-1.02%
"Feb 15, 2012",791.85,782.11,793.21,782.11,2.05M,2.03%
"Feb 16, 2012",787.13,790.17,792.38,784.75,1.36M,-0.60%
"Feb 17, 2012",794.86,796.21,797.02,789.13,1.15M,0.98%
"Feb 20, 2012",800.22,799.6,801.66,796.53,1.40M,0.67%
"Feb 21, 2012",803.66,802.46,806.04,799.97,1.02M,0.43%
"Feb 22, 2012",801.59,806.61,809.71,801.38,5.85B,-0.26%
"Feb 23, 2012",803.61,802.97,805.36,795.03,976.32M,0.25%
"Feb 24, 2012",808.27,806.13,809.32,804.66,698.35M,0.58%
"Feb 27, 2012",799.19,809.13,810.04,797.64,701.40M,-1.12%
"Feb 28, 2012",807.69,801.04,807.69,798.49,612.98M,1.06%
"Feb 29, 2012",818.78,810.78,818.78,810.29,1.09B,1.37%
"Mar 01, 2012",821.96,817.39,823.2,815.57,1.40B,0.39%
"Mar 02, 2012",821.18,825.27,827.85,820.56,1.14B,-0.09%
"Mar 05, 2012",814.68,818.9,819.58,813.77,753.75M,-0.79%
"Mar 06, 2012",810.79,812.25,816.16,808.54,771.01M,-0.48%
"Mar 08, 2012",823.07,813.49,823.07,813.21,1.51B,1.51%
"Mar 09, 2012",814.89,824.41,824.94,814.89,1.91B,-0.99%
"Mar 12, 2012",807.65,817.53,820.02,804.49,1.18B,-0.89%
"Mar 13, 2012",809.97,812.13,813.09,802.71,1.37B,0.29%
"Mar 14, 2012",818.14,817.35,820.98,813.18,1.02B,1.01%
"Mar 15, 2012",823.39,819.82,826.05,819.41,1.34B,0.64%
"Mar 16, 2012",838.44,827.74,838.44,824.71,1.92B,1.83%
"Mar 19, 2012",837.93,843.59,847.87,837.93,1.73B,-0.06%
"Mar 20, 2012",843.65,838.32,846.73,837.67,1.03B,0.68%
"Mar 21, 2012",852.14,843.18,852.14,840.23,1.72B,1.01%
"Mar 22, 2012",839.22,851.41,857,839.22,2.57B,-1.52%
"Mar 23, 2012",841.76,840.48,844.12,830.1,1.17B,0.30%
"Mar 26, 2012",836.77,842.99,845.08,835.96,745.17M,-0.59%
"Mar 27, 2012",852.25,848.14,852.25,844.45,817.76M,1.85%
"Mar 28, 2012",849.51,849.47,853.53,845.67,679.89M,-0.32%
"Mar 29, 2012",849.34,844.82,850.73,841.55,716.13M,-0.02%
"Mar 30, 2012",842.91,850.32,851.94,840.46,855.68M,-0.76%
"Apr 02, 2012",843.87,842.04,847.13,841.08,448.47M,0.11%
"Apr 03, 2012",853.51,848.26,855.38,848.01,703.85M,1.14%
"Apr 04, 2012",843.26,851.28,853.32,843.26,706.34M,-1.20%
"Apr 05, 2012",831.74,841.62,842.45,827.91,760.32M,-1.37%
"Apr 10, 2012",819.57,825.28,826.57,813.38,697.78M,-1.46%
"Apr 11, 2012",810.76,812.25,816.09,808.06,834.39M,-1.07%
"Apr 12, 2012",821.45,813.41,821.45,813.41,469.12M,1.32%
"Apr 17, 2012",813,829.87,829.87,809.76,640.06M,-1.03%
"Apr 18, 2012",818.87,820.89,823.27,815.6,632.29M,0.72%
"Apr 19, 2012",832.66,820.58,832.82,819.07,652.36M,1.68%
"Apr 20, 2012",839.45,832.12,840.17,830.04,974.84M,0.82%
"Apr 23, 2012",834.68,842.38,844.61,832.56,1.47B,-0.57%
"Apr 24, 2012",842.26,838.06,842.26,834.69,885.59M,0.91%
"Apr 25, 2012",842.33,843.33,845.64,838.72,854.77M,0.01%
"Apr 26, 2012",848.32,843.86,851.26,843.86,799.37M,0.71%
"Apr 27, 2012",850.11,850.31,852.48,844.54,531.96M,0.21%
"Apr 30, 2012",863.82,855.09,863.82,854.89,852.67M,1.61%
"May 02, 2012",871.94,869.58,873.64,867.86,811.38M,0.94%
"May 03, 2012",872.75,872.92,879.5,869.33,1.08B,0.09%
"May 04, 2012",861.93,872.66,872.66,861.01,1.15B,-1.24%
"May 08, 2012",864.17,856.98,865.44,854.85,1.16B,0.26%
"May 09, 2012",845.27,858.92,860.91,845.27,1.62B,-2.19%
"May 10, 2012",832.43,840.01,840.65,828.49,1.77B,-1.52%
"May 11, 2012",833.65,830,836.72,823.56,1.88B,0.15%
"May 14, 2012",815.21,833.13,840.65,810.36,1.18B,-2.21%
"May 15, 2012",830.41,814.32,830.41,810.58,733.55M,1.86%
"May 16, 2012",820.4,815.94,820.4,805.66,1.10B,-1.21%
"May 17, 2012",821.87,821.96,826.24,815.84,967.99M,0.18%
"May 18, 2012",806.71,809.48,811.97,802.61,853.76M,-1.84%
"May 21, 2012",790.73,805.2,806.19,790.73,684.29M,-1.98%
"May 22, 2012",786.06,799.42,801.47,786.06,633.52M,-0.59%
"May 23, 2012",770.17,781.38,783.73,768.13,725.48M,-2.02%
"May 24, 2012",783.86,770.89,783.86,764.09,1.18B,1.78%
"May 25, 2012",786.87,777.8,788.69,774.76,534.89M,0.38%
"May 28, 2012",791.76,784.1,791.78,778.9,444.42M,0.62%
"May 29, 2012",802.16,792.07,804.46,791.87,846.98M,1.31%
"May 30, 2012",789.62,795.05,797.18,788.76,534.02M,-1.56%
"May 31, 2012",791.54,781.04,794.48,777.33,780.57M,0.24%
"Jun 01, 2012",772.39,787.71,789.73,772.39,604.79M,-2.42%
"Jun 05, 2012",761.66,776.13,778.32,761.66,610.65M,-1.39%
"Jun 06, 2012",775.6,770.26,780.37,769.41,462.02M,1.83%
"Jun 07, 2012",777.14,785.73,789.06,773.83,647.80M,0.20%
"Jun 08, 2012",783.68,774.9,783.68,771.36,415.09M,0.84%
"Jun 11, 2012",807.94,796.74,807.94,796.74,731.09M,3.10%
"Jun 12, 2012",810.66,799.98,810.66,797.65,614.08M,0.34%
"Jun 13, 2012",806.51,811.33,813.62,801.63,551.38M,-0.51%
"Jun 14, 2012",801.72,802.48,810.85,801.37,1.15B,-0.59%
"Jun 15, 2012",812.56,808.25,816.37,807.13,1.53B,1.35%
"Jun 18, 2012",809.88,822.5,824.79,807.17,952.50M,-0.33%
"Jun 19, 2012",816.9,812.14,816.9,808.36,890.24M,0.87%
"Jun 20, 2012",816.68,814.8,818.61,812.4,457.66M,-0.03%
"Jun 21, 2012",804.89,809.94,811.07,802.9,495.01M,-1.44%
"Jun 22, 2012",800.07,797.53,800.07,793.75,786.74M,-0.60%
"Jun 25, 2012",795.68,798.85,803.97,795.68,693.87M,-0.55%
"Jun 26, 2012",798.51,795.05,801.32,794.04,429.00M,0.36%
"Jun 27, 2012",809.75,802.93,810.75,802.23,572.35M,1.41%
"Jun 28, 2012",814.02,813.42,819.99,805.27,604.24M,0.53%
"Jun 29, 2012",814.38,817.78,826.08,814.38,784.50M,0.04%
"Jul 02, 2012",827.4,824.57,828.45,821.44,571.40M,1.60%
"Jul 03, 2012",834.48,831.33,835.09,829.15,645.07M,0.86%
"Jul 04, 2012",830.48,837.86,838.44,827.47,860.24M,-0.48%
"Jul 05, 2012",836.15,829.59,836.15,826.64,676.01M,0.68%
"Jul 06, 2012",833.94,835.87,838.23,827.32,565.29M,-0.26%
"Jul 09, 2012",823.21,826.92,827.88,822.77,425.89M,-1.29%
"Jul 10, 2012",837.67,824.61,837.67,823.34,496.40M,1.76%
"Jul 11, 2012",840.61,834.49,842.1,833.29,574.22M,0.35%
"Jul 12, 2012",828.66,836.13,838.29,828.6,466.41M,-1.42%
"Jul 13, 2012",841.59,829.53,843.68,829.53,449.09M,1.56%
"Jul 16, 2012",843.8,843.33,848.33,840.48,552.35M,0.26%
"Jul 17, 2012",851.44,850.34,852.27,847.69,816.70M,0.91%
"Jul 18, 2012",846.8,849.29,851.39,843.38,799.32M,-0.54%
"Jul 19, 2012",840.77,853.39,853.64,838.53,993.56M,-0.71%
"Jul 20, 2012",836.99,843.54,845.5,834.19,565.89M,-0.45%
"Jul 23, 2012",818.43,820.99,825.41,817.16,590.24M,-2.22%
"Jul 24, 2012",819.59,817.53,823.96,815.93,521.17M,0.14%
"Jul 25, 2012",820.13,818.42,821.06,812.57,602.19M,0.07%
"Jul 26, 2012",808.79,824.12,826.23,808.42,639.03M,-1.38%
"Jul 27, 2012",812.36,821.21,821.64,808.9,743.96M,0.44%
"Jul 30, 2012",824.48,816.32,824.48,815.85,417.65M,1.49%
"Jul 31, 2012",828.67,828.66,829.16,820.84,704.21M,0.51%
"Aug 01, 2012",829.1,826.78,830.29,824.39,775.77M,0.05%
"Aug 03, 2012",825.47,823.69,826.99,816.83,912.02M,-0.44%
"Aug 06, 2012",833.52,832.44,834.92,828.51,617.58M,0.98%
"Aug 07, 2012",832.96,836.09,836.84,831.55,593.46M,-0.07%
"Aug 08, 2012",835.75,836.79,839.53,834.71,1.27B,0.33%
"Aug 09, 2012",839.25,840.39,843.39,833.79,1.07B,0.42%
"Aug 10, 2012",841.5,838.26,841.5,833.82,481.46M,0.27%
"Aug 14, 2012",848.99,845.42,848.99,840.78,608.05M,0.89%
"Aug 15, 2012",848.75,845.54,848.89,841.48,621.37M,-0.03%
"Aug 16, 2012",845.18,849.85,851.22,845.18,758.51M,-0.42%
"Aug 17, 2012",843.73,849.45,849.46,840.87,664.55M,-0.17%
"Aug 20, 2012",846.85,842.03,847.76,838.96,391.19M,0.37%
"Aug 21, 2012",848.17,845.25,850.84,844.77,769.21M,0.16%
"Aug 22, 2012",848.83,846.25,849.58,844.86,662.96M,0.08%
"Aug 23, 2012",852.17,850.2,855.64,849.3,762.96M,0.39%
"Aug 24, 2012",850.6,847.31,851.26,845.71,836.93M,-0.18%
"Aug 27, 2012",846.66,852.16,853.93,846.66,548.94M,-0.46%
"Aug 28, 2012",845.55,846.94,850.84,845.44,836.70M,-0.13%
"Aug 29, 2012",834.88,845.34,847.96,834.88,873.52M,-1.26%
"Aug 30, 2012",830.52,831.61,832.38,825.35,905.78M,-0.52%
"Aug 31, 2012",840.32,829.25,840.32,827.67,1.06B,1.18%
"Sep 03, 2012",846.27,842.89,849.05,840.97,860.27M,0.71%
"Sep 04, 2012",846.46,849.88,850.56,843.01,943.44M,0.02%
"Sep 05, 2012",843.17,841.76,847.19,841.01,888.68M,-0.39%
"Sep 06, 2012",850.5,846.09,852.8,845.58,919.96M,0.87%
"Sep 07, 2012",851.95,858.49,859.74,851.95,1.06B,0.17%
"Sep 10, 2012",855.12,854.56,858.27,854.17,790.25M,0.37%
"Sep 11, 2012",852.8,854.59,856.43,850.17,1.39B,-0.27%
"Sep 12, 2012",862.15,858.15,862.15,856,925.54M,1.10%
"Sep 13, 2012",860.36,863.31,863.43,856.88,1.31B,-0.21%
